Pokemon,Move
PINCURCHIN,MOVE_ACUPRESSURE
PINCURCHIN,MOVE_ASSURANCE
PINCURCHIN,MOVE_ATTRACT
PINCURCHIN,MOVE_BODY_SLAM
PINCURCHIN,MOVE_BRINE
PINCURCHIN,MOVE_BUBBLE_BEAM
PINCURCHIN,MOVE_CHARGE
PINCURCHIN,MOVE_CHARGE_BEAM
PINCURCHIN,MOVE_CHILLING_WATER
PINCURCHIN,MOVE_CURSE
PINCURCHIN,MOVE_DISCHARGE
PINCURCHIN,MOVE_ELECTRIC_TERRAIN
PINCURCHIN,MOVE_ELECTROWEB
PINCURCHIN,MOVE_ELECTRO_BALL
PINCURCHIN,MOVE_ENDURE
PINCURCHIN,MOVE_FACADE
PINCURCHIN,MOVE_FURY_ATTACK
PINCURCHIN,MOVE_GIGA_IMPACT
PINCURCHIN,MOVE_HEX
PINCURCHIN,MOVE_HYDRO_PUMP
PINCURCHIN,MOVE_HYPER_BEAM
PINCURCHIN,MOVE_LIQUIDATION
PINCURCHIN,MOVE_MEMENTO
PINCURCHIN,MOVE_MUDDY_WATER
PINCURCHIN,MOVE_PAIN_SPLIT
PINCURCHIN,MOVE_PAYBACK
PINCURCHIN,MOVE_PECK
PINCURCHIN,MOVE_PIN_MISSILE
PINCURCHIN,MOVE_POISON_JAB
PINCURCHIN,MOVE_PROTECT
PINCURCHIN,MOVE_RAIN_DANCE
PINCURCHIN,MOVE_RECOVER
PINCURCHIN,MOVE_REST
PINCURCHIN,MOVE_REVERSAL
PINCURCHIN,MOVE_RISING_VOLTAGE
PINCURCHIN,MOVE_ROUND
PINCURCHIN,MOVE_SCALD
PINCURCHIN,MOVE_SELF_DESTRUCT
PINCURCHIN,MOVE_SLEEP_TALK
PINCURCHIN,MOVE_SNORE
PINCURCHIN,MOVE_SPARK
PINCURCHIN,MOVE_SPIKES
PINCURCHIN,MOVE_SUBSTITUTE
PINCURCHIN,MOVE_SUCKER_PUNCH
PINCURCHIN,MOVE_SUPERCELL_SLAM
PINCURCHIN,MOVE_SURF
PINCURCHIN,MOVE_SWIFT
PINCURCHIN,MOVE_TAKE_DOWN
PINCURCHIN,MOVE_TERA_BLAST
PINCURCHIN,MOVE_THROAT_CHOP
PINCURCHIN,MOVE_THUNDER
PINCURCHIN,MOVE_THUNDERBOLT
PINCURCHIN,MOVE_THUNDER_SHOCK
PINCURCHIN,MOVE_THUNDER_WAVE
PINCURCHIN,MOVE_TOXIC_SPIKES
PINCURCHIN,MOVE_VENOM_DRENCH
PINCURCHIN,MOVE_VENOSHOCK
PINCURCHIN,MOVE_WATER_GUN
PINCURCHIN,MOVE_WILD_CHARGE
PINCURCHIN,MOVE_ZING_ZAP
ARCHALUDON,MOVE_AURA_SPHERE
ARCHALUDON,MOVE_BODY_PRESS
ARCHALUDON,MOVE_BODY_SLAM
ARCHALUDON,MOVE_BREAKING_SWIPE
ARCHALUDON,MOVE_BRICK_BREAK
ARCHALUDON,MOVE_DARK_PULSE
ARCHALUDON,MOVE_DOUBLE_EDGE
ARCHALUDON,MOVE_DRACO_METEOR
ARCHALUDON,MOVE_DRAGON_CHEER
ARCHALUDON,MOVE_DRAGON_CLAW
ARCHALUDON,MOVE_DRAGON_PULSE
ARCHALUDON,MOVE_DRAGON_TAIL
ARCHALUDON,MOVE_EARTHQUAKE
ARCHALUDON,MOVE_ELECTRO_SHOT
ARCHALUDON,MOVE_ENDURE
ARCHALUDON,MOVE_FACADE
ARCHALUDON,MOVE_FLASH_CANNON
ARCHALUDON,MOVE_FOCUS_ENERGY
ARCHALUDON,MOVE_FOUL_PLAY
ARCHALUDON,MOVE_GIGA_IMPACT
ARCHALUDON,MOVE_GYRO_BALL
ARCHALUDON,MOVE_HARD_PRESS
ARCHALUDON,MOVE_HEAVY_SLAM
ARCHALUDON,MOVE_HONE_CLAWS
ARCHALUDON,MOVE_HYPER_BEAM
ARCHALUDON,MOVE_IRON_DEFENSE
ARCHALUDON,MOVE_IRON_HEAD
ARCHALUDON,MOVE_LEER
ARCHALUDON,MOVE_LIGHT_SCREEN
ARCHALUDON,MOVE_METAL_BURST
ARCHALUDON,MOVE_METAL_CLAW
ARCHALUDON,MOVE_METAL_SOUND
ARCHALUDON,MOVE_METEOR_BEAM
ARCHALUDON,MOVE_MIRROR_COAT
ARCHALUDON,MOVE_NIGHT_SLASH
ARCHALUDON,MOVE_OUTRAGE
ARCHALUDON,MOVE_PROTECT
